card_number,name,date,amount,description,transaction_number
969375379,Madrona Kimera,2022-01-08 23:55:33,10000,,7RQVFH462CX
786683671,Paternain Dailo,2022-01-02 01:42:07,20000,Cost 122966,KJ6VPHESU1X
297839190,Chust Thaynara,2022-01-04 02:05:48,30000,Cost 139998,LKDUQ619PH1
338828630,Gamito Lidija,2022-01-12 16:21:34,50000,,7MHTGMZVG66
444863108,Belmez Roseline,2022-01-13 07:14:16,50000,148119,OEUJYHZTYTR
508119850,Pozueco Aristide,2022-01-12 12:54:41,10000,148773,VOWBUDXGOIY
512141217,Nadi Hajra,2022-01-14 22:29:03,20000,Cost 151855,X3R528M48VA
272887456,Harto Alecu,2022-01-06 08:35:08,10000,152247,6C3C7RMYBCK
698843675,Cissokho Reka,2022-01-20 09:37:48,30000,Cost 155596,UF9C46S5QUW
467692502,Prunes Serviliano,2022-01-18 23:23:11,50000,,DJKDZFZ7QG7
764998440,Masoliver Kebir,2022-01-22 16:53:45,50000,,IPC6P8LEQ3S
172446363,Romani Dieng,2022-01-19 02:05:38,20000,169184,AAYLOVLRG5B
372222406,Pertierra Rumen,2022-01-07 12:27:33,30000,178237,NI4L7HSQE9B
188768854,Loghin Estrellita,2022-01-07 02:00:02,20000,191630,7F4EMTMRQEV
241912983,Hierro Montaa,2022-01-04 09:00:01,30000,,459V1N6NH8Q
368127864,Yahiaoui Todorov,2022-01-16 21:21:20,50000,212289,WURRLZJH1LX
102219679,Butnariu Ann,2022-01-27 11:12:23,30000,216110,K5MD7QKZL1J
308281703,Miyares Erola,2022-01-03 11:18:01,30000,Cost 218060,31EUAFY4ID2
677056381,Cambray Keltse,2022-01-03 09:33:03,20000,,FGB9Q5QLCU4
107646364,Benalcazar Alexandre,2022-01-13 01:21:25,30000,274947,C82K1PMSO1H
844292340,Farfan Ludwig,2022-01-21 18:01:26,40000,,YCPREO5CUIZ
278149425,Calderer Xiumei,2022-01-16 17:17:41,50000,Cost 285505,186C6XXL9PD
972142757,Torroella Jinguo,2022-01-14 19:08:46,30000,,BEKIMWNSNX9
655657706,Yecora Asterio,2022-01-11 07:32:20,30000,320496,BSL37SOVSCJ
122925975,Balletbo Argenis,2022-01-01 11:13:34,10000,331016,LL57NZPZECU
743079015,Avelino Philippe,2022-01-02 18:02:59,50000,338720,89S8LD81CTR
574769671,Gruber Adame,2022-01-20 12:11:05,50000,349199,XBBB9QREWAR
148385582,Meijide Vadym,2022-01-20 21:03:56,20000,Cost 362884,PMJN7KHUAF9
318375576,Florido Mirella,2022-01-12 16:43:35,40000,Cost 367010,ZOMJKTXUROJ
155094538,Baldomir Dita,2022-01-22 18:30:40,10000,Cost 369907,H5TZNAD16PO
915540428,Faraji Jules,2022-01-01 09:59:43,30000,377592,4W5CPN2UK7T
627386312,Miner Jazmin,2022-01-29 04:25:04,20000,Cost 381429,WAY1M3R8IJY
253545659,Margallo Patrycja,2022-01-25 20:05:42,40000,383604,51OKQ4MUYLI
494068042,Nine Vadim,2022-01-03 18:26:34,40000,Cost 400772,HFEKJWQS7OJ
191428481,Capapey Lucrecio,2022-01-19 06:18:16,10000,Cost 411591,UFT5O4HQFET
661264909,Glera Florin,2022-01-19 03:41:53,20000,,7QKSN4CGNXW
962496009,Clemot Niculina,2022-01-16 09:08:29,10000,Cost 456150,XZ81RANI8PU
416969295,Sartorius Polivio,2022-01-08 12:31:00,30000,Cost 460540,TD624GD1KSZ
693017968,Vizarro Hristiyana,2022-01-11 06:31:22,50000,,G51HUKJSGOK
751554281,Mitkova Fazal,2022-01-10 00:53:42,40000,Cost 484716,WGLPU79WUDB
934649821,Sartorius Severina,2022-01-18 15:17:16,30000,,Z4WHATXQCWV
897612231,Zunino Cecilia,2022-01-02 11:47:40,10000,,27UA95TGF3Y
527577175,Cals Ute,2022-01-26 14:43:44,50000,524774,U575KIPY7C1
887766305,Szilagyi Elise,2022-01-08 21:15:22,20000,,3WVR1RFC9VG
166174066,Marcon Karine,2022-01-29 03:03:14,30000,587929,8OM9CPBAJ4O
147992135,Amezaga Emilian,2022-01-26 10:35:34,20000,Cost 603237,VEITH1HHVBU
859199444,Umaña Sadio,2022-01-20 05:45:03,40000,607138,EVN1BTYHO2H
850566071,Usach Yannis,2022-01-09 17:14:56,10000,,5SXP1HBAOG8
943272393,Mariscal Iqbal,2022-01-28 20:04:30,10000,,NAHDA9VRUX2
231082141,Khali Alberta,2022-01-27 17:08:27,50000,Cost 650274,8BBHV73EYIM
183521981,Madueño Bonifacia,2022-01-06 11:26:16,20000,650818,QFHPV2YPACF
210628318,Camaras Jair,2022-01-20 05:46:58,20000,,J7C2LEG6R22
155366659,Voica Nandini,2022-01-04 11:25:38,20000,655878,XNE9WMLUYIO
792994253,Ardaya Ewan,2022-01-02 12:21:16,30000,664670,8SYAT2NZM8T
775676853,Hadj Boleslao,2022-01-28 05:35:38,50000,720616,CJGLCSBK9Z8
738683812,Sanchez Redondo Nissrine,2022-01-26 07:08:38,20000,,JLX7OVLEULO
337654819,Canete Arcangela,2022-01-19 14:17:01,10000,Cost 724959,8Q9NO6O7MV9
756469843,El Ouazizi Quintiliana,2022-01-03 06:46:28,20000,,12YGOF5GYG2
377717449,Mahecha Aamar,2022-01-21 16:36:36,50000,,G5YET2DE4Y4
475200747,Agromayor Guoxing,2022-01-03 15:21:00,10000,736430,X3Y9A6Z9FM5
449643914,Sanguesa Sidonio,2022-01-05 10:16:24,50000,,LJDY7O4TQFN
487204711,Reategui Elmo,2022-01-12 06:57:59,20000,737257,H2QTZYMHQ7W
356291187,El Hassnaoui Olayo,2022-01-21 10:24:42,30000,,GHBLHYE7BUB
741714051,Caña Bran,2022-01-22 14:04:47,50000,,282DIFFKMOW
702332921,Yoldi Elarbi,2022-01-24 04:30:38,10000,770893,VVZY4H5CYID
301923688,Trifonova Hoz,2022-01-03 13:08:56,40000,Cost 774719,P3JQOZNLMYV
938496822,Madarieta Lupicinia,2022-01-28 13:07:28,40000,,VNHR4JQ4EXF
919263571,Callis Lucero,2022-01-19 16:02:21,20000,790090,F4LIAM6H5ZH
632298865,Fisac Meili,2022-01-06 05:56:44,40000,819330,GARLYKIXD4E
589750660,Farnos Nassir,2022-01-01 16:48:33,50000,Cost 842955,EFXHG29BRY9
986616742,Bringue Lu,2022-01-04 03:55:18,10000,870922,31XJOBSLMNR
934157527,De La Rasilla Romen,2022-01-03 00:03:27,10000,Cost 878681,OTJS21TDLVR
560434932,Terol Mikhaylo,2022-01-11 03:17:38,30000,,F3INYQDURW8
279241050,Kante Czeslawa,2022-01-29 15:53:23,30000,,7YC7SF1CGFS
594154895,Camañes Ivanildo,2022-01-06 19:23:01,30000,Cost 925070,BL1ML67LNGZ
630690904,Dorrego Ridwan,2022-01-02 22:43:14,10000,935541,P8YJJBS48XL
508962551,Steiner Lingyan,2022-01-10 02:15:55,20000,937922,MGPHBR7GRNW
931023571,Semis Transfiguracion,2022-01-26 06:28:34,10000,942763,DTEOBAQDYD1
354629547,Granada Lang,2022-01-10 13:33:31,40000,948970,EZF3P9M9J2D
865058945,Matamala Redencion,2022-01-11 23:15:44,30000,Cost 978010,OILB56PSHZM
450750473,Marsol Dave,2022-01-28 20:41:17,10000,Cost 994910,MAVS5FAYRIW
968172911,Tabernilla Mireilla,2022-01-09 00:08:09,50000,,W9Q4C8U8Y4N
